"","title","price","sold_at","username","bought_and_sold","designer","sold_price"
"1","Supreme Digi Puzzle",35,"2019-03-12T02:11:09.600Z","hyped-dragon",1,"Supreme",40
"2","Nike ACG Windbreaker 1/2 Zip Hooded Anorak Jacket",70,"2019-03-12T01:43:40.119Z","riuk",48,"Nike ACG",75
"3","Bape X Doc Martens Low top gold toe embossed leather sneaker",190,"2019-03-12T01:35:04.177Z","BabyMoth",21,"Bape",175
"4","350 V2 Cream/Triple White",200,"2019-03-12T02:10:01.877Z","BOOTYWHOOPING",13,"Yeezy Boost",190
"5","Silver Bracelet",135,"2019-03-12T01:59:12.497Z","mom",4611,"Dior",100
"6","FINAL DROP 🔥 NEED GONE Small Double Dagger Pendant WITH CHAIN",145,"2019-03-12T01:11:40.081Z","ktwb",38,"Chrome Hearts",150
"7","CDG PLAY BLACK TEE WHITE POLKA DOTS",57,"2019-03-12T00:56:29.161Z","8myles",15,"Comme Des Garcons Play",40
"8","Supreme 70 Red Box Logo Stickers",50,"2019-03-12T01:04:35.234Z","offdays",3,"Supreme",55
"9","Supreme red crewneck Mini box logo",90,"2019-03-12T02:10:04.720Z","Vossworld",3,"Supreme",89
"10","RAF SIMONS CROPPED DISTURBED SWEATER",522,"2019-03-12T01:02:10.019Z","Seigfried",28,"Raf Simons",335
"11","ASSC Pink GT Tee S",41,"2019-03-12T01:03:18.382Z","studioghibli24",18,"Antisocial Social Club",53
"12","Adidas Yeezy Wave Runner 700 Solid Grey",350,"2019-03-12T01:18:40.199Z","noprps",188,"Adidas",300
"13","FW18 Shoulder Bag / Red",68,"2019-03-12T00:32:38.969Z","kixrgold",8,"Supreme",70
"14","Fear Of God Essentials Cream Shorts Brand New",65,"2019-03-12T01:37:49.439Z","TNCooks",6,"Pacsun",70
"15","Apc denim work shirt",54,"2019-03-12T01:42:32.585Z","lfcmike06",129,"A.P.C.",47
"16","ERD Putin Painting Zip Up Light Jacket",1000,"2019-03-12T00:31:15.827Z","geodaehanTyrell",90,"Enfants Riches Deprimes",1000
"17","Enfants Riches Deprimes Staff Jacket",1000,"2019-03-12T00:33:17.703Z","danielevite",192,"Enfants Riches Deprimes",1000
